,cut,color,clarity,depth,carat,table,x,y,z,price
39,Ideal,E,SI2,62.4,0.5,57.0,5.07,5.03,3.15,1240
40,Ideal,G,VVS2,61.3,0.51,57.0,5.12,5.15,3.15,1875
41,Premium,G,SI2,62.2,1.04,59.0,6.57,6.49,4.06,3861
42,Ideal,G,VVS2,61.8,0.64,54.0,5.53,5.56,3.42,2587
43,Ideal,E,VS2,62.2,0.8,57.0,5.95,5.98,3.71,3648
44,Ideal,D,SI1,61.9,0.3,56.0,4.28,4.31,2.66,552
45,Premium,E,VS2,61.8,0.38,58.0,4.61,4.64,2.86,866
46,Ideal,G,VS1,62.1,0.31,55.0,4.33,4.37,2.7,625
47,Fair,H,SI1,55.2,1.0,64.0,6.69,6.64,3.68,3830
48,Ideal,G,VS2,61.7,0.78,55.0,5.94,5.89,3.65,3184
49,Very Good,D,SI1,59.8,1.0,59.0,6.47,6.51,3.88,5671
50,Very Good,H,VS1,60.3,0.7,63.0,5.77,5.73,3.47,2399
51,Very Good,F,SI1,60.7,0.64,59.0,5.51,5.59,3.37,1688
52,Ideal,I,VS1,61.3,0.31,55.6,4.37,4.4,2.69,513
53,Ideal,G,VS2,61.9,0.52,55.0,5.15,5.18,3.2,1549
54,Ideal,E,VS1,62.6,0.33,57.0,4.42,4.4,2.76,1002
55,Very Good,H,VVS1,63.4,0.3,57.0,4.31,4.27,2.72,878
56,Good,J,SI1,63.9,1.0,60.0,6.26,6.19,3.98,3679
57,Ideal,E,I1,60.3,0.3,57.0,4.39,4.36,2.64,495
58,Premium,H,VS1,61.8,0.47,58.0,4.99,4.94,3.07,1221
59,Ideal,H,VS1,60.7,1.59,56.0,7.54,7.58,4.59,13839
60,Good,G,SI1,63.7,1.01,60.0,6.32,6.28,4.01,5113
61,Ideal,H,SI1,62.6,0.34,56.0,4.48,4.46,2.8,628
62,Ideal,E,VVS2,60.8,0.31,57.0,4.36,4.39,2.66,816
63,Ideal,G,VS2,61.2,0.74,56.0,5.82,5.85,3.57,3434
64,Ideal,F,VS2,62.6,0.33,55.0,4.42,4.4,2.76,854
65,Ideal,I,VS2,61.8,1.08,54.0,6.6,6.57,4.07,5455
66,Ideal,G,SI1,62.3,0.79,57.0,5.9,5.85,3.66,2898
67,Ideal,H,VVS2,61.5,0.3,57.0,4.34,4.31,2.66,776
68,Ideal,I,VVS2,62.2,1.33,56.0,7.01,7.04,4.37,7887
69,Very Good,H,SI1,61.2,0.51,55.0,5.19,5.21,3.18,1008
70,Ideal,D,SI2,61.2,0.58,57.0,5.36,5.4,3.29,1342
71,Ideal,H,VS2,62.0,1.22,58.0,6.81,6.86,4.24,7623
72,Good,H,VS2,63.7,0.78,60.0,5.77,5.73,3.66,2440
73,Ideal,I,VS1,60.8,1.62,56.0,7.56,7.61,4.62,11152
74,Ideal,G,VS2,60.8,1.65,56.0,7.65,7.7,4.67,14456
75,Very Good,F,VS1,61.2,0.55,56.4,5.28,5.33,3.25,1975
76,Ideal,E,SI1,60.7,1.64,55.0,7.67,7.64,4.65,9801
77,Premium,E,VS2,62.5,0.3,59.0,4.27,4.3,2.68,658
78,Ideal,D,VS2,61.7,0.41,56.0,4.81,4.78,2.96,1076
79,Premium,D,VVS2,62.4,0.3,58.0,4.26,4.3,2.67,752
80,Premium,G,VS2,59.6,1.1,60.0,6.72,6.7,4.0,6121
81,Ideal,I,SI1,63.3,1.03,57.0,6.37,6.46,4.06,4401
82,Fair,J,VS2,64.8,0.3,58.0,4.24,4.16,2.72,416
83,Premium,I,SI1,62.7,1.02,58.0,6.44,6.41,4.03,4227
84,Premium,E,VS2,61.8,0.56,56.0,5.31,5.28,3.27,1915
85,Very Good,F,VS1,62.6,1.51,57.0,7.25,7.29,4.55,14976
86,Premium,I,SI1,61.8,1.13,59.0,6.65,6.68,4.12,4536
87,Ideal,I,SI1,61.9,0.34,57.0,4.48,4.44,2.76,589
88,Premium,H,SI2,58.8,1.16,61.0,6.93,6.84,4.05,4157
89,Very Good,F,VS2,59.7,0.38,57.0,4.73,4.79,2.84,752
90,Premium,G,SI1,60.5,1.03,60.0,6.52,6.48,3.93,5105
91,Very Good,E,SI2,62.2,0.9,54.0,6.13,6.21,3.84,3715
92,Very Good,D,SI1,62.8,0.5,58.0,5.02,5.05,3.16,1415
93,Ideal,F,SI1,62.2,0.3,54.2,4.31,4.34,2.69,499
94,Ideal,D,VS1,61.5,0.64,56.0,5.54,5.55,3.41,2787
95,Fair,F,SI2,65.3,0.91,51.0,6.05,5.98,3.93,2996
96,Premium,G,VVS1,60.4,1.24,59.0,7.02,7.01,4.24,10485
97,Ideal,I,SI2,61.8,2.3,57.0,8.48,8.45,5.23,16329
98,Ideal,E,VS1,61.6,0.27,56.0,4.17,4.14,2.56,603
99,Premium,J,VVS2,59.6,1.0,61.0,6.4,6.36,3.8,3864
100,Ideal,G,VS2,62.9,0.71,56.0,5.73,5.68,3.59,2443
101,Premium,E,SI1,60.8,0.36,59.0,4.59,4.56,2.78,810
102,Ideal,D,SI2,62.1,0.31,57.0,4.34,4.32,2.69,593
103,Ideal,H,SI1,62.8,0.93,56.0,6.19,6.27,3.91,3988
104,Good,D,VS2,61.8,0.33,61.0,4.4,4.44,2.73,652
105,Premium,G,SI2,62.7,1.77,59.0,7.67,7.66,4.8,9664
106,Ideal,E,SI2,62.2,1.06,55.0,6.51,6.54,4.06,5223
107,Ideal,G,SI2,62.1,1.21,57.0,6.8,6.85,4.24,5226
108,Ideal,E,VVS1,62.3,0.3,55.0,4.29,4.32,2.68,826
109,Ideal,I,VS2,62.6,1.27,57.0,6.92,6.88,4.32,6401
110,Very Good,D,SI2,62.4,0.92,60.0,6.21,6.25,3.89,4168
111,Ideal,I,VS1,61.9,0.31,54.0,4.34,4.38,2.7,489
112,Good,H,VS2,57.8,2.01,60.0,8.29,8.35,4.81,18561
113,Ideal,G,VS1,61.9,1.51,57.0,7.37,7.34,4.55,14674
114,Very Good,G,VS2,60.5,1.83,59.0,7.89,7.99,4.8,18358
115,Premium,F,VS1,62.4,0.38,59.0,4.57,4.63,2.87,933
116,Premium,F,VVS2,61.3,0.23,59.0,3.94,3.99,2.43,445
117,Ideal,I,SI1,62.1,0.92,55.0,6.24,6.29,3.89,3610
118,Premium,D,SI1,62.4,1.5,58.0,7.27,7.31,4.55,12069
119,Very Good,G,VS1,62.1,0.32,55.0,4.41,4.44,2.75,645
120,Ideal,F,SI2,61.2,1.0,57.0,6.39,6.48,3.94,4372
121,Very Good,F,VVS1,59.4,0.31,57.0,4.39,4.43,2.62,779
122,Good,F,SI2,58.7,0.52,64.0,5.24,5.26,3.08,1350
123,Ideal,H,SI2,62.5,2.01,53.9,8.04,8.07,5.04,14998
124,Ideal,G,VVS2,62.2,0.31,55.0,4.32,4.36,2.7,565
125,Very Good,J,SI1,61.0,0.77,59.0,5.94,5.99,3.64,2086
126,Very Good,H,SI2,59.8,1.13,59.0,6.75,6.82,4.06,4537
127,Ideal,D,SI1,62.6,0.32,55.0,4.36,4.39,2.74,589
128,Premium,E,SI1,61.2,2.07,58.0,8.24,8.19,5.03,16957
129,Premium,G,VS2,60.3,0.71,59.0,5.79,5.76,3.48,2443
130,Ideal,F,VS2,60.4,1.11,58.0,6.73,6.66,4.04,7275
131,Premium,F,SI2,61.1,1.02,59.0,6.45,6.41,3.93,4541
132,Ideal,H,VS2,61.5,1.56,56.0,7.5,7.46,4.6,11636
133,Very Good,I,VS2,61.6,0.34,56.0,4.47,4.51,2.76,457
134,Premium,G,SI2,62.7,0.96,60.0,6.29,6.11,3.89,3215
135,Premium,D,VS2,62.3,0.31,55.0,4.35,4.32,2.7,942
136,Very Good,G,VS1,60.4,0.64,62.0,5.54,5.58,3.36,2060
137,Premium,F,VVS1,62.5,1.01,58.0,6.41,6.35,3.99,7882
138,Ideal,H,VVS2,62.5,0.35,57.0,4.48,4.54,2.82,706
139,Premium,F,SI2,62.5,0.7,60.0,5.66,5.61,3.52,2373
140,Ideal,H,VS1,62.1,0.3,54.0,4.35,4.32,2.69,675
141,Ideal,H,VVS1,61.1,0.71,56.0,5.78,5.81,3.53,3137
142,Ideal,G,IF,61.1,0.31,57.0,4.38,4.42,2.68,871
143,Ideal,E,I1,61.4,2.25,54.0,8.52,8.46,5.21,9072
144,Premium,I,SI1,62.8,1.18,56.0,6.74,6.71,4.22,5088
145,Very Good,G,SI2,63.2,1.22,58.0,6.82,6.76,4.29,6409
146,Ideal,G,VS2,62.8,1.72,57.0,7.65,7.58,4.78,12830
147,Ideal,F,SI2,61.7,2.01,56.0,8.12,8.16,5.02,18394
148,Premium,G,SI1,60.1,1.03,60.0,6.55,6.52,3.93,5581
149,Ideal,F,VS2,62.0,0.7,56.0,5.71,5.74,3.55,2671
150,Good,E,SI1,64.3,1.01,59.0,6.23,6.28,4.02,5379
151,Fair,H,VS1,64.6,1.0,59.0,6.3,6.26,4.06,5242
152,Ideal,F,VVS2,61.2,1.1,56.0,6.66,6.74,4.1,10487
153,Ideal,D,IF,60.9,0.59,57.0,5.4,5.43,3.3,4208
154,Very Good,H,VS2,63.5,0.3,59.0,4.27,4.2,2.69,608
155,Ideal,E,VS1,61.3,0.56,55.0,5.29,5.32,3.25,1930
156,Premium,F,SI1,61.7,0.9,62.0,6.19,6.13,3.8,3936
157,Very Good,E,VS2,60.7,0.57,58.0,5.37,5.33,3.25,1732
158,Ideal,D,SI2,61.2,0.72,57.0,5.76,5.8,3.54,2328
159,Fair,H,SI1,65.5,1.0,57.0,6.26,6.21,4.08,3511
160,Ideal,G,VVS1,62.1,0.4,53.0,4.75,4.79,2.96,1043
161,Premium,I,SI2,62.3,1.22,58.0,6.8,6.85,4.25,4831
162,Ideal,G,IF,62.3,1.02,57.0,6.43,6.5,4.03,8955
163,Ideal,H,VS2,61.8,1.08,56.0,6.59,6.55,4.06,5625
164,Premium,G,IF,60.8,0.33,58.0,4.46,4.42,2.7,1052
165,Very Good,E,VVS2,59.8,0.42,56.0,4.9,4.92,2.94,1167
166,Very Good,F,SI1,62.8,1.36,53.0,7.05,7.1,4.45,6597
167,Ideal,F,VS1,62.1,0.58,56.0,5.38,5.32,3.32,2088
168,Good,G,SI1,63.6,1.02,58.0,6.34,6.39,4.05,4964
169,Good,E,VS2,57.4,1.19,60.0,6.9,7.0,3.99,6937
170,Good,D,SI2,64.6,2.01,55.0,7.85,7.98,5.11,15394
171,Very Good,F,SI2,63.1,1.15,63.0,6.67,6.57,4.18,4915
172,Premium,D,SI2,60.0,0.79,60.0,6.07,6.03,3.63,2853
173,Premium,D,VS2,62.9,0.32,59.0,4.39,4.36,2.75,842
174,Ideal,F,VS2,61.6,0.31,56.0,4.38,4.35,2.69,749
175,Very Good,F,VS1,61.0,0.54,58.0,5.24,5.25,3.2,1813
176,Very Good,D,VS2,62.8,0.5,60.0,5.02,5.08,3.17,1627
177,Very Good,H,SI2,62.3,1.86,57.0,7.82,7.85,4.88,11416
178,Very Good,H,VS2,60.9,1.04,58.0,6.5,6.6,3.99,5447
179,Ideal,G,VS2,60.8,1.41,55.0,7.27,7.2,4.4,10581
180,Ideal,E,SI1,61.6,0.3,54.0,4.32,4.35,2.67,499
181,Ideal,H,VS1,61.6,0.33,55.0,4.46,4.48,2.75,610
182,Ideal,D,SI1,62.7,1.06,54.0,6.55,6.52,4.1,6055
183,Ideal,I,SI2,62.0,0.31,54.1,4.32,4.35,2.69,372
184,Good,G,SI1,64.3,0.91,60.0,6.04,6.12,3.91,3344
185,Very Good,J,SI1,62.4,0.75,56.0,5.78,5.82,3.62,2083
186,Very Good,F,IF,62.1,0.3,57.0,4.26,4.3,2.66,886
187,Ideal,D,VVS1,60.6,0.41,57.0,4.82,4.79,2.91,1582
188,Premium,H,SI2,59.4,1.01,62.0,6.47,6.43,3.83,3083
189,Very Good,G,VVS1,63.0,1.02,58.0,6.4,6.43,4.04,7657
190,Ideal,G,VS1,62.3,0.27,53.0,4.16,4.19,2.6,527
191,Very Good,F,SI1,62.6,0.7,56.0,5.66,5.72,3.56,2196
192,Ideal,I,VS2,62.3,1.51,57.0,7.28,7.37,4.56,9297
193,Ideal,J,SI2,62.8,2.22,57.0,8.33,8.29,5.22,13703
194,Premium,G,VS2,62.7,0.54,58.0,5.21,5.25,3.28,1422
195,Premium,D,SI2,58.9,1.23,58.0,6.99,6.97,4.11,5283
196,Good,E,SI1,63.9,0.9,57.0,6.12,6.08,3.9,3795
197,Fair,F,SI1,56.6,0.88,65.0,6.39,6.32,3.6,2882
198,Fair,G,SI2,58.6,0.7,56.0,5.8,5.74,3.38,2208
199,Premium,H,SI1,62.7,0.31,58.0,4.34,4.31,2.71,558
200,Ideal,G,SI2,61.1,1.25,55.0,6.95,6.99,4.26,6371
201,Premium,G,SI2,59.1,1.01,59.0,6.55,6.51,3.86,4242
202,Very Good,F,SI2,63.5,0.3,57.0,4.25,4.22,2.69,506
203,Very Good,E,VS1,59.5,0.28,59.0,4.29,4.35,2.57,487
204,Premium,F,SI2,61.1,0.51,59.0,5.15,5.09,3.13,1227
205,Ideal,I,VS2,61.9,0.52,58.0,5.14,5.17,3.19,1232
206,Premium,G,VVS1,59.2,0.52,58.0,5.31,5.28,3.14,2153
207,Good,D,SI2,63.3,0.3,57.0,4.26,4.3,2.71,447
208,Very Good,D,SI1,62.2,0.51,58.0,5.08,5.11,3.17,1398
209,Premium,D,VVS2,62.8,0.42,59.0,4.76,4.73,2.98,1241
210,Premium,H,VS2,61.6,1.82,60.0,7.78,7.74,4.78,14749
211,Very Good,E,VS2,58.9,0.7,60.0,5.83,5.85,3.44,2845
212,Ideal,G,VVS2,62.3,1.37,55.5,7.05,7.14,4.43,12207
213,Premium,G,SI2,62.7,1.0,59.0,6.3,6.36,3.97,4095
214,Ideal,G,SI2,61.1,1.2,57.0,6.83,6.86,4.18,5722
215,Premium,E,VS1,62.0,1.01,59.0,6.42,6.38,3.97,7964
216,Ideal,H,SI1,61.7,0.5,58.0,5.07,5.11,3.14,1035
217,Premium,E,VS1,60.4,1.0,59.0,6.51,6.54,3.94,7744
218,Ideal,F,IF,61.4,0.31,56.0,4.38,4.41,2.7,1061
219,Very Good,D,VS2,63.3,0.4,58.0,4.63,4.66,2.94,845
220,Very Good,G,VS2,62.3,0.32,55.0,4.38,4.41,2.73,544
221,Premium,F,VS2,62.4,1.54,59.0,7.43,7.38,4.62,14578
222,Premium,E,I1,61.4,1.05,58.0,6.53,6.46,3.99,2964
223,Premium,G,VS2,61.9,1.05,59.0,6.56,6.52,4.05,5821
224,Good,G,VS1,63.9,1.0,55.0,6.34,6.28,4.03,6028
225,Very Good,I,VS1,63.3,0.3,59.0,4.23,4.2,2.67,608
226,Very Good,E,VS2,62.4,0.3,57.0,4.24,4.26,2.65,658
227,Good,G,VVS2,60.9,1.0,56.0,6.49,6.52,3.96,7492
228,Premium,F,VS1,60.6,0.39,55.0,4.77,4.73,2.88,1092
229,Very Good,G,SI1,63.0,0.31,56.0,4.3,4.34,2.72,462
230,Premium,G,VS2,61.8,0.31,58.0,4.35,4.39,2.7,435
231,Ideal,F,SI1,61.5,0.6,58.0,5.38,5.41,3.32,1646
232,Ideal,G,SI2,60.5,0.31,57.0,4.4,4.36,2.65,523
233,Very Good,D,VS2,62.6,0.3,61.0,4.22,4.25,2.65,710
234,Ideal,G,VVS1,62.1,0.41,55.0,4.79,4.74,2.96,1230
235,Premium,G,VS1,60.3,0.33,58.0,4.5,4.52,2.72,621
236,Very Good,F,VS1,61.8,0.7,59.0,5.66,5.76,3.53,2895
237,Very Good,E,VVS1,62.1,0.28,57.0,4.17,4.21,2.6,707
238,Very Good,I,VS1,63.3,0.7,55.0,5.64,5.6,3.56,1995
239,Ideal,D,VS1,60.8,0.35,57.0,4.61,4.57,2.79,952
240,Ideal,G,SI1,61.0,1.0,57.0,6.47,6.44,3.94,5622
241,Premium,F,IF,60.6,0.76,60.0,5.89,5.85,3.56,4150
243,Very Good,G,SI1,62.6,1.0,59.0,6.29,6.33,3.95,4844
244,Good,D,SI2,57.6,1.03,58.0,6.6,6.67,3.82,4177
245,Very Good,F,VVS2,62.0,0.25,59.0,3.99,4.04,2.49,576
246,Ideal,H,VS2,60.5,1.1,57.0,6.73,6.7,4.06,5347
247,Ideal,G,VVS1,61.7,1.03,56.0,6.45,6.56,4.0,7708
248,Very Good,J,SI1,63.3,1.14,55.0,6.6,6.67,4.2,4173
249,Ideal,D,VS1,61.9,1.1,56.0,6.58,6.61,4.09,10144
250,Premium,F,SI2,60.5,0.73,57.0,5.84,5.8,3.52,2351
251,Ideal,H,VS1,60.3,0.71,59.0,5.75,5.79,3.48,2487
252,Good,D,VVS1,61.0,0.7,61.0,5.69,5.72,3.48,4407
253,Ideal,G,VVS1,62.2,1.33,54.0,7.02,7.06,4.38,12255
254,Premium,H,SI1,62.0,1.15,58.0,6.77,6.66,4.16,5506
255,Ideal,F,VVS1,61.6,0.53,56.0,5.18,5.24,3.21,2896
256,Very Good,F,SI2,61.1,1.3,58.0,6.98,7.02,4.28,6149
257,Premium,F,VVS2,61.3,1.05,59.0,6.56,6.48,4.0,8693
258,Premium,G,VS2,59.7,0.57,59.0,5.37,5.41,3.22,1608
259,Very Good,D,SI1,62.8,0.63,57.0,5.4,5.46,3.41,1885
260,Very Good,E,SI2,60.3,0.91,59.0,6.28,6.25,3.78,3638
261,Premium,D,VS2,61.6,1.2,60.0,6.78,6.72,4.16,8693
262,Premium,E,SI1,63.0,1.01,61.0,6.42,6.37,4.03,5077
263,Premium,H,SI1,59.3,1.05,58.0,6.65,6.61,3.93,5161
264,Ideal,F,VS2,62.2,0.34,55.0,4.47,4.5,2.79,641
265,Premium,I,VS2,61.7,1.19,57.0,6.84,6.77,4.2,5439
266,Premium,D,SI1,58.7,0.52,58.0,5.32,5.28,3.11,1720
267,Good,I,SI2,63.6,0.53,58.0,5.08,5.11,3.24,942
268,Ideal,E,VS2,61.0,1.11,57.0,6.65,6.7,4.08,9625
269,Ideal,G,IF,61.1,0.32,57.0,4.41,4.43,2.7,918
270,Ideal,F,VS2,61.5,0.36,55.0,4.6,4.57,2.82,807
271,Ideal,F,SI2,61.8,1.03,56.0,6.49,6.46,4.0,4454
272,Premium,I,VS1,59.5,0.33,60.0,4.54,4.5,2.69,668
273,Very Good,F,VS2,62.4,0.7,57.0,5.67,5.71,3.55,2956
274,Ideal,E,VS2,62.0,0.32,55.0,4.46,4.38,2.74,900
275,Very Good,H,SI1,60.1,2.01,60.0,8.25,8.2,4.94,17476
276,Ideal,G,VS1,61.2,0.32,56.0,4.39,4.43,2.7,645
277,Good,G,SI2,64.1,0.9,56.0,6.12,6.08,3.91,3246
278,Ideal,F,VS2,61.0,1.08,57.0,6.61,6.68,4.06,7781
279,Ideal,H,VVS1,61.8,0.31,57.0,4.35,4.32,2.68,907
280,Premium,H,VS2,61.8,1.02,58.0,6.49,6.43,3.99,5241
281,Ideal,E,VS2,61.6,0.35,55.0,4.54,4.49,2.78,984
282,Ideal,F,SI1,60.9,0.32,55.0,4.46,4.53,2.72,586
283,Premium,H,SI2,62.6,2.53,60.0,8.66,8.55,5.39,14659
284,Ideal,E,SI1,61.4,0.55,55.0,5.29,5.26,3.24,1668
285,Ideal,H,IF,61.6,0.58,57.0,5.34,5.37,3.3,2211
286,Premium,E,VS2,60.6,0.52,58.0,5.23,5.2,3.16,1622
287,Good,G,VVS1,58.5,0.7,62.0,5.8,5.82,3.4,3380
288,Ideal,H,VS2,61.3,0.52,55.0,5.2,5.24,3.2,1401
289,Ideal,G,VVS1,62.7,0.3,54.0,4.3,4.34,2.71,764
290,Ideal,F,VS1,61.7,0.71,55.0,5.73,5.77,3.55,3041
291,Ideal,G,VVS2,62.6,0.4,53.0,4.72,4.77,2.97,917
292,Ideal,J,SI2,61.6,1.02,55.0,6.49,6.43,3.98,2611
293,Very Good,F,VVS2,62.5,0.33,59.0,4.4,4.47,2.77,810
294,Premium,F,SI2,62.9,1.01,59.0,6.32,6.27,3.96,4616
295,Very Good,F,VVS2,62.0,0.32,55.0,4.38,4.42,2.73,717
296,Very Good,E,VS2,62.1,1.5,60.0,7.27,7.31,4.53,14256
297,Good,G,VS2,63.2,1.02,57.0,6.38,6.41,4.04,6058
298,Ideal,E,IF,61.9,0.33,57.0,4.41,4.45,2.74,1129
299,Premium,D,SI1,60.5,0.65,58.0,5.61,5.57,3.38,2134
300,Ideal,F,IF,59.8,0.3,58.0,4.37,4.46,2.64,873
301,Premium,G,SI2,60.3,1.21,58.0,6.96,6.9,4.18,5529
302,Ideal,I,VVS2,62.7,0.7,54.0,5.65,5.69,3.55,2487
303,Premium,G,VS2,61.3,0.51,59.0,5.17,5.11,3.15,1443
304,Premium,D,VS2,62.7,1.54,59.0,7.33,7.29,4.58,16921
305,Very Good,F,SI1,61.6,0.43,59.0,4.83,4.87,2.99,792
306,Premium,I,VVS1,61.9,0.33,60.0,4.44,4.41,2.74,780
307,Good,I,VVS1,62.4,0.9,61.0,6.05,6.09,3.79,3972
308,Very Good,E,SI1,63.2,0.41,56.0,4.74,4.72,2.99,1015
309,Ideal,G,IF,61.9,0.31,56.0,4.33,4.35,2.68,871
310,Very Good,F,SI1,58.8,1.54,60.0,7.54,7.59,4.45,11650
311,Ideal,G,VS2,62.5,1.04,57.0,6.49,6.46,4.05,6709
312,Ideal,E,SI1,61.7,0.62,54.0,5.53,5.49,3.4,2054
313,Very Good,D,SI1,63.5,0.9,57.0,6.15,6.11,3.89,4304
314,Ideal,H,VS1,61.5,0.36,55.0,4.59,4.62,2.83,651
315,Ideal,F,VVS1,62.1,0.3,55.0,4.32,4.31,2.68,1114
316,Premium,I,VS1,61.6,1.4,59.0,7.22,7.17,4.43,7722
317,Very Good,H,SI2,60.8,1.7,56.0,7.67,7.72,4.68,10255
318,Ideal,G,VS1,61.8,0.33,56.0,4.42,4.45,2.74,666
319,Ideal,F,VS1,61.9,1.06,57.0,6.53,6.55,4.05,7345
320,Very Good,G,SI1,59.2,0.4,61.0,4.78,4.81,2.84,702
321,Ideal,J,SI2,60.1,1.1,57.0,6.77,6.74,4.06,4624
322,Fair,H,VS2,65.5,0.9,57.0,6.05,6.01,3.95,3226
323,Premium,G,VVS2,61.2,0.32,59.0,4.39,4.44,2.7,730
324,Ideal,E,VS1,62.7,0.33,57.0,4.45,4.38,2.77,1002
325,Very Good,E,SI1,63.3,0.73,60.0,5.65,5.7,3.59,2523
326,Premium,G,SI1,62.4,1.51,62.0,7.25,7.12,4.48,10688
327,Ideal,I,SI2,62.0,2.07,55.0,8.22,8.12,5.07,16337
328,Premium,E,SI2,61.0,1.0,59.0,6.4,6.33,3.89,3752
329,Very Good,H,SI1,63.1,1.04,58.0,6.43,6.37,4.04,4316
330,Premium,F,VS2,60.1,1.21,55.0,7.01,6.91,4.18,8870
331,Ideal,H,VVS1,62.5,0.72,57.0,5.7,5.73,3.57,2946
332,Very Good,E,SI1,62.1,0.83,58.0,6.01,6.04,3.74,3002
333,Ideal,J,SI1,62.3,1.17,55.0,6.74,6.77,4.21,4883
334,Ideal,F,VS1,62.0,0.28,57.0,4.19,4.23,2.61,598
335,Ideal,E,VS2,62.4,0.53,56.0,5.2,5.16,3.23,1813
336,Very Good,I,SI2,60.8,1.0,63.0,6.41,6.34,3.88,3276
337,Premium,E,VS1,62.0,0.46,58.0,4.95,4.98,3.08,1294
338,Ideal,D,SI1,60.6,0.34,56.0,4.54,4.51,2.74,803
339,Very Good,E,VS2,62.9,0.3,58.0,4.22,4.24,2.66,658
340,Very Good,E,VS2,60.4,1.01,58.0,6.47,6.51,3.92,6666
341,Ideal,G,SI1,59.6,1.26,57.0,7.08,7.04,4.21,6738
342,Ideal,F,VS1,61.6,0.36,56.0,4.62,4.64,2.85,819
343,Good,J,SI1,63.6,2.01,59.0,7.96,8.01,5.08,12257
344,Very Good,E,SI1,63.5,0.4,57.0,4.72,4.7,2.99,882
345,Ideal,J,VS1,60.9,0.42,57.0,4.83,4.86,2.95,663
346,Premium,G,SI2,61.3,0.91,60.0,6.17,6.2,3.79,3423
347,Ideal,G,IF,62.4,0.51,54.0,5.12,5.17,3.21,2096
348,Very Good,D,VS2,62.5,0.32,57.0,4.34,4.39,2.73,758
349,Premium,E,VS2,61.6,1.77,58.0,7.78,7.71,4.77,15278
350,Premium,F,VVS2,61.6,0.3,58.0,4.28,4.35,2.66,737
351,Very Good,D,SI2,63.2,1.51,59.0,7.25,7.18,4.56,7915
352,Ideal,E,SI1,61.6,1.01,57.0,6.44,6.49,3.98,5206
353,Premium,G,VS1,60.8,1.58,58.0,7.58,7.52,4.59,11380
354,Premium,G,SI2,59.8,0.91,58.0,6.3,6.29,3.77,2813
